D_km,SKR_0.0,SKR_1.0e-6,SKR_0.001
0,0.4509889328495047,0.44676730971640277,0.3167118656691478
1,0.4306907817028891,0.4265652196463453,0.29947282278049625
2,0.4113061997234753,0.4072745095543148,0.28307847766015076
3,0.39279406758243846,0.3888541160401358,0.267489525689857
4,0.3751151211696462,0.37126480915521964,0.2526685298833182
5,0.35823185476074987,0.35446917627469793,0.23857867871477184
6,0.34210845738826695,0.3384313712872142,0.2251865465772938
7,0.32671073988871185,0.32311731245255354,0.21245931430197712
8,0.3120060319839122,0.30849439550708924,0.20036504161343485
9,0.29796314375025845,0.2945313733792817,0.18887426907226543
10,0.28455229035987045,0.2811986205479633,0.17795866010734152
11,0.2717450237712637,0.2684676960744595,0.167591160621469
12,0.2595141771474708,0.25631134939559874,0.1577453946379063
13,0.24783380912232786,0.24470385106721446,0.1483975557429699
14,0.23667915237299464,0.23362039680478403,0.13952357645755664
15,0.22602653083012736,0.22303736533299656,0.13110059552046877
16,0.21585335620735163,0.2129322061341667,0.12310822576943015
17,0.20613805232244592,0.20328334569518164,0.11552509181109677
18,0.19686000739196816,0.19407024411991589,0.10833215623298556
19,0.18799954265308072,0.1852732465278229,0.10151063917909592
20,0.17953786639003386,0.17687359037080944,0.09504320188644663
21,0.17145702478305436,0.16885335902319254,0.0889125677936031
22,0.16373988761680186,0.16119544734402447,0.08310278292470193
23,0.1563700762242652,0.1538835166685577,0.0775983195566638
24,0.14933196052734765,0.14690196146309625,0.07238490812157987
25,0.14261061171392939,0.14023589250319574,0.06744820040454061
26,0.13619177224353624,0.13387107978097212,0.062774848066762
27,0.13006182979392927,0.1277939194571511,0.058352513886166774
28,0.124207775316616,0.12199167694968382,0.05416898087062455
29,0.11861720391619317,0.11645129387346957,0.0502125933299485
30,0.11327824458743421,0.11116159317387325,0.04647228719168309
31,0.10817958460960997,0.10611108786596743,0.042937796582368445
32,0.10331039528998906,0.1012889375965342,0.03959892480256261
33,0.09866035649678113,0.09668487135176361,0.036446275488314
34,0.0942196094209088,0.09228905065051791,0.033470671628939505
35,0.08997872301300774,0.0880920726254536,0.030663676627507616
36,0.08592870804636844,0.08408496939517728,0.028016786916299913
37,0.0820609785180389,0.08025916695091084,0.025522279088397583
38,0.07836731918433985,0.07660648732006585,0.023172607781821647
39,0.07483990738431978,0.07311911641037033,0.020960705034186615
40,0.07147125419756628,0.06978959461052124,0.018879646869754865
41,0.06825421510777,0.06661081261877935,0.016923123300368055
42,0.06518196419553818,0.06357591831659051,0.01508489625671678
43,0.06224798959389173,0.060678463853627754,0.01335908709240103
44,0.05944606588840528,0.05791222905882482,0.01174014889698076
45,0.056770246220002256,0.05527131877953504,0.010222646362773771
46,0.054214863598773734,0.05274998516056529,0.008801548755495367
47,0.05177448689659004,0.05034291946406668,0.007472039197525787
48,0.04944394841809762,0.04804492815426437,0.006229494630563194
49,0.04721829931248076,0.04585108884462943,0.005069490814133534
50,0.04509282355216862,0.043756695963481126,0.00398795816308066
51,0.0430630096494679,0.041757263385863656,0.0029808631381055065
52,0.04112455135289428,0.03984849203693348,0.0020444708096106837
53,0.03927333769958292,0.03802628379690804,0.0011750596718140445
54,0.03750544114355983,0.036286659255508794,0.00036928739076876396
55,0.03581711746979351,0.03462611301332617,0.0
56,0.034204777567055075,0.03304085694564278,0.0
57,0.03266500571192481,0.03152757237337683,0.0
58,0.03119453411984345,0.03008291629853114,0.0
59,0.029790245354484404,0.02870389411731383,0.0
60,0.02844915619785866,0.027387509830648037,0.0
61,0.02716843032751231,0.02613090320825765,0.0
62,0.025945349234319483,0.024931399206309216,0.0
63,0.024777311304202798,0.02378640561236247,0.0
64,0.023661846711413085,0.022693488936838802,0.0
65,0.022596582483128902,0.021650202977009494,0.0
66,0.021579263889130423,0.02065439196478125,0.0
67,0.020607734266703523,0.019703917569240205,0.0
68,0.01967993304988242,0.018796610113172893,0.0
69,0.018793886556323948,0.01793063540496772,0.0
70,0.01794771626463259,0.017104080378733795,0.0
71,0.017139632747888947,0.016315163750169268,0.0
72,0.016367919000472724,0.015562191817343175,0.0
